cenario,instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Indefinidos,Cury,Renan,Caiado,Zema,Bolsonaro,Michelle,Tarcísio,Eduardo,Ratinho,Gomes,Leite,Marçal,Lima,Tereza C.,Barbosa,Neves,Rebelo,Marinho,Nogueira,Alckmin,Haddad
Lula e Renan Santos,AtlasIntel,2026-04-22,2026-04-27,,1.0,47.1,,23.5,,29.5,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-04-22,2026-04-27,,1.0,46.8,,11.0,,,42.2,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-04-22,2026-04-27,,1.0,47.4,,6.1,,,,46.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-04-22,2026-04-27,,1.0,48.0,,5.2,,,,,46.8,,,,,,,,,,,,,,,,
Hipóteses com Haddad,AtlasIntel,2026-04-22,2026-04-27,,1.0,,48.1,7.6,,,,,,,,,,,,,,,,,,,,,44.3
Lula e Flávio Bolsonaro,MDA,2026-04-08,2026-04-12,,2.2,44.9,40.2,14.9,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,MDA,2026-04-08,2026-04-12,,2.2,45.0,,26.7,,28.3,,,,,,,,,,,,,,,,,,,
Lula e Caiado,MDA,2026-04-08,2026-04-12,,2.2,44.4,,22.9,,,32.7,,,,,,,,,,,,,,,,,,
Lula e Zema,MDA,2026-04-08,2026-04-12,,2.2,45.2,,23.2,,,,31.6,,,,,,,,,,,,,,,,,
Hipóteses com Lula,MDA,2026-04-08,2026-04-12,,2.2,45.4,,25.5,,,,,,,,,,,,,,,,,29.1,,,,
Lula e Flávio Bolsonaro,Futura,2026-04-07,2026-04-11,,2.2,42.6,48.0,9.4,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-04-07,2026-04-11,,2.2,43.9,,17.3,,,38.8,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-04-07,2026-04-11,,2.2,44.8,,17.1,,,,38.0,,,,,,,,,,,,,,,,,
Hipóteses com Haddad,Futura,2026-04-07,2026-04-11,,2.2,,48.3,16.9,,,,,,,,,,,,,,,,,,,,,34.8
Lula e Flávio Bolsonaro,Datafolha,2026-04-07,2026-04-09,,2.0,45.0,46.0,9.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-04-07,2026-04-09,,2.0,45.0,,13.0,,,42.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-04-07,2026-04-09,,2.0,45.0,,13.0,,,,42.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2026-03-25,2026-03-28,,2.2,44.1,45.2,10.7,,,,,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-03-18,2026-03-23,,1.0,46.6,47.6,5.8,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-03-18,2026-03-23,,1.0,46.2,,17.1,,,36.7,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-03-18,2026-03-23,,1.0,46.6,,9.8,,,,43.7,,,,,,,,,,,,,,,,,
Hipóteses com Lula,AtlasIntel,2026-03-18,2026-03-23,,1.0,46.6,,6.0,,,,,47.4,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-03-02,2026-03-06,,2.2,40.5,48.8,10.7,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-03-02,2026-03-06,,2.2,41.1,,17.7,,,41.2,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-03-02,2026-03-06,,2.2,42.5,,17.0,,,,40.5,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2026-03-02,2026-03-06,,2.2,41.4,,13.1,,,,,,,45.5,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2026-03-03,2026-03-05,,2.0,46.0,43.0,11.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-03-03,2026-03-05,,2.0,46.0,,18.0,,,36.0,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Datafolha,2026-03-03,2026-03-05,,2.0,45.0,,13.0,,,,,,,42.0,,,,,,,,,,,,,,
Hipóteses com Haddad,Datafolha,2026-03-03,2026-03-05,,2.0,,43.0,15.0,,,,,,,,,,,,,,,,,,,,,41.0
Lula e Flávio Bolsonaro,Real Time Big Data,2026-02-28,2026-03-02,,2.0,42.0,41.0,17.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Real Time Big Data,2026-02-28,2026-03-02,,2.0,51.0,,31.0,,18.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Real Time Big Data,2026-02-28,2026-03-02,,2.0,45.0,,19.0,,,36.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Real Time Big Data,2026-02-28,2026-03-02,,2.0,44.0,,21.0,,,,35.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Real Time Big Data,2026-02-28,2026-03-02,,2.0,43.0,,18.0,,,,,,,,,39.0,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Paraná Pesquisas,2026-02-22,2026-02-25,,2.2,43.8,44.4,11.9,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Paraná Pesquisas,2026-02-22,2026-02-25,,2.2,45.3,,18.4,,,36.2,,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Paraná Pesquisas,2026-02-22,2026-02-25,,2.2,43.6,,16.7,,,,,,,,,39.7,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-02-19,2026-02-24,,1.0,46.2,46.3,7.5,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-02-19,2026-02-24,,1.0,45.7,,16.7,,,37.6,,,,,,,,,,,,,,,,,,
